Trial,CorrectResponse,Response,Correct,Offset,NextStepSize,Reversals,NextDirection,SameDirectionCount
1,3,3,True,64.00,4,0,,0
2,3,3,True,64.00,2,1,down,0
3,1,1,True,32.00,2,1,down,0
4,3,3,True,32.00,2,1,down,1
5,3,3,True,16.00,2,1,down,1
6,1,1,True,16.00,4,1,down,2
7,1,3,False,4.00,2,2,up,0
8,1,3,False,8.00,2,2,up,1
9,3,3,True,16.00,2,2,up,1
10,1,1,True,16.00,1,3,down,0
