Trial,CorrectResponse,Response,Correct,Offset,NextStepSize,Reversals,NextDirection,SameDirectionCount
1,1,1,True,64.00,4,0,,0
2,3,3,True,64.00,2,1,down,0
3,3,3,True,32.00,2,1,down,0
4,1,1,True,32.00,2,1,down,1
5,3,3,True,16.00,2,1,down,1
6,1,1,True,16.00,4,1,down,2
