Trial,CorrectResponse,Response,Correct,Offset,StepSize
1,1,1,True,64.00,4
2,3,3,True,64.00,4
3,3,3,True,16.00,4
4,1,1,True,16.00,4
5,1,1,True,4.00,4
6,1,3,False,4.00,4
7,1,3,False,16.00,4
8,1,3,False,64.00,1
9,1,1,True,64.00,1
10,1,1,True,64.00,2
